pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;jaottelu;ajoneuvoluokka;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
471;vt3_Tampere_Multisilta;20240222;*;;*;Kaikki;kaikki;196;160;143;124;204;621;1942;3415;3114;2167;2057;2284;2589;2788;3337;4530;4449;3504;2524;1870;1527;1080;625;305;45555
471;vt3_Tampere_Multisilta;20240223;*;;*;Kaikki;kaikki;205;139;126;144;220;634;1857;3053;2668;2180;2179;2572;2975;3309;4096;4895;4714;4011;2862;1948;1608;1475;776;573;49219
471;vt3_Tampere_Multisilta;20240224;*;;*;Kaikki;kaikki;354;244;206;154;210;294;446;625;977;1803;2449;3202;3544;3518;3530;3371;3265;2618;2205;1539;1402;920;741;558;38175
471;vt3_Tampere_Multisilta;20240225;*;;*;Kaikki;kaikki;361;235;187;155;129;156;258;307;433;879;1461;2273;2855;3164;3232;3346;3159;2847;2403;1617;1298;755;465;282;32257
471;vt3_Tampere_Multisilta;20240226;*;;*;Kaikki;kaikki;174;111;86;132;232;701;1973;2770;2431;2060;2068;2266;2335;2529;2862;3703;3659;2570;1999;1457;1161;812;550;294;38935
471;vt3_Tampere_Multisilta;20240227;*;;*;Kaikki;kaikki;179;142;119;117;198;664;1901;2794;2511;2006;2089;2296;2408;2505;2876;4029;3746;3006;2175;1591;1209;1126;587;334;40608
471;vt3_Tampere_Multisilta;20240228;*;;*;Kaikki;kaikki;189;137;117;123;192;616;1787;2656;2333;2122;2061;2383;2520;2623;3024;4030;3880;3081;2258;1643;1271;967;595;345;40953
471;vt3_Tampere_Multisilta;20240229;*;;*;Kaikki;kaikki;229;165;131;124;211;615;1789;2569;2301;2146;2251;2522;2736;2896;3293;4113;3970;3310;2617;1797;1466;1414;744;429;43838
471;vt3_Tampere_Multisilta;20240301;*;;*;Kaikki;kaikki;213;165;131;133;213;595;1609;2236;2132;2104;2315;2619;2827;3224;3690;4388;4049;3379;2716;1951;1511;1016;799;542;44557
471;vt3_Tampere_Multisilta;20240302;*;;*;Kaikki;kaikki;374;242;199;161;182;217;374;503;871;1599;2213;2874;3181;3192;3209;3071;3054;2559;2275;1870;1420;1064;844;590;36138
471;vt3_Tampere_Multisilta;20240303;*;;*;Kaikki;kaikki;393;308;222;144;156;125;217;305;503;900;1343;2197;2598;2942;3033;3172;3190;3031;2651;1868;1445;904;543;289;32479
471;vt3_Tampere_Multisilta;20240304;*;;*;Kaikki;kaikki;186;112;106;118;242;735;2209;3538;3143;2245;1956;2110;2181;2248;2772;4044;4034;2710;2043;1606;1252;884;490;276;41240
471;vt3_Tampere_Multisilta;20240305;*;;*;Kaikki;kaikki;238;133;120;134;190;676;2165;3658;3268;2252;2018;2096;2190;2286;2885;4178;4302;3116;2220;1670;1321;1141;590;316;43163
471;vt3_Tampere_Multisilta;20240306;*;;*;Kaikki;kaikki;209;134;119;130;213;665;2206;3590;3273;2240;1966;2203;2304;2393;3083;4339;4470;3124;2395;1740;1418;1034;697;311;44256
471;vt3_Tampere_Multisilta;20240307;*;;*;Kaikki;kaikki;195;162;125;121;187;658;2118;3531;3121;2287;2021;2179;2426;2526;3095;4453;4493;3247;2555;1895;1445;1013;642;351;44846
471;vt3_Tampere_Multisilta;20240308;*;;*;Kaikki;kaikki;218;143;138;121;210;673;1923;3123;2766;2232;75;2463;2762;3158;3871;4861;4626;3954;3085;1977;1572;1103;1211;662;46927
471;vt3_Tampere_Multisilta;20240309;*;;*;Kaikki;kaikki;391;301;228;160;193;247;412;638;1153;1959;2492;3154;3419;3321;3570;3383;3023;2639;2449;1849;1410;1065;736;526;38718
471;vt3_Tampere_Multisilta;20240310;*;;*;Kaikki;kaikki;395;279;153;162;132;124;263;317;555;1196;1607;2334;2855;3151;3207;3239;3152;3096;2581;1900;1442;932;520;278;33870
471;vt3_Tampere_Multisilta;20240311;*;;*;Kaikki;kaikki;141;100;87;131;239;774;2204;3475;3092;2172;1973;2065;2143;2294;2805;3959;4077;2650;2044;1592;1223;757;515;292;40804
471;vt3_Tampere_Multisilta;20240312;*;;*;Kaikki;kaikki;156;103;114;117;192;711;2206;3764;3167;2211;1957;2070;2174;2261;2855;4080;4173;3074;2298;1591;1405;1147;666;318;42810
471;vt3_Tampere_Multisilta;20240313;*;;*;Kaikki;kaikki;190;136;91;116;198;681;2171;3587;3226;2226;2010;2152;2239;2492;2903;4277;4333;3101;2246;1684;1318;956;576;313;43222
471;vt3_Tampere_Multisilta;20240314;*;;*;Kaikki;kaikki;196;137;107;117;194;655;2169;3546;3086;2274;2042;2175;2356;2588;3101;4357;4410;3181;2476;1752;1431;999;719;322;44390
471;vt3_Tampere_Multisilta;20240315;*;;*;Kaikki;kaikki;209;145;128;106;225;650;1912;3152;2850;2318;2311;2560;2734;3142;3915;4805;4703;3801;2874;1966;1713;1180;825;595;48819
471;vt3_Tampere_Multisilta;20240316;*;;*;Kaikki;kaikki;375;276;199;151;159;240;435;647;1065;1862;1130;3205;3481;3415;3339;3299;3027;2705;2407;1581;1186;958;722;480;36344
471;vt3_Tampere_Multisilta;20240317;*;;*;Kaikki;kaikki;333;245;185;115;109;143;234;348;506;920;1384;1974;2550;2869;2896;3110;3049;2961;2478;1904;1425;887;505;287;31417
471;vt3_Tampere_Multisilta;20240318;*;;*;Kaikki;kaikki;148;110;93;135;256;761;2171;3611;3183;2232;2001;2090;2125;2356;2727;4064;4143;2723;2138;1559;1268;871;570;322;41657
471;vt3_Tampere_Multisilta;20240319;*;;*;Kaikki;kaikki;185;166;115;122;185;711;2241;3730;3319;2336;1974;2094;2112;2383;2895;4220;4246;2977;2208;1681;1298;982;590;314;43084
471;vt3_Tampere_Multisilta;20240320;*;;*;Kaikki;kaikki;199;121;115;138;205;677;2204;3736;3369;2467;2115;2124;2251;2476;2956;4369;4464;3316;2370;1632;1420;1352;655;344;45075
471;vt3_Tampere_Multisilta;20240321;*;;*;Kaikki;kaikki;204;152;103;138;200;698;2074;3534;3307;2310;2100;2098;2353;2558;3150;4455;4597;3397;2417;1778;1448;1007;799;368;45245
471;vt3_Tampere_Multisilta;20240322;*;;*;Kaikki;kaikki;216;143;113;125;216;624;1886;3263;2887;2256;2167;2436;2743;3113;3865;4789;4608;3591;2814;1945;1593;1052;770;612;47827
471;vt3_Tampere_Multisilta;20240323;*;;*;Kaikki;kaikki;370;277;234;168;153;229;426;736;1195;2026;2585;3142;3288;3402;3410;3340;3278;2737;2329;1875;1698;1158;809;567;39432
471;vt3_Tampere_Multisilta;20240324;*;;*;Kaikki;kaikki;367;257;208;147;120;119;229;311;585;1052;1564;2149;2689;2872;2902;2959;2893;2863;2476;1822;1397;891;530;280;31682
471;vt3_Tampere_Multisilta;20240325;*;;*;Kaikki;kaikki;147;124;92;108;263;765;2305;3605;3158;2248;1993;2169;2157;2294;2745;4096;4110;2959;2004;1455;1173;1177;587;296;42030
471;vt3_Tampere_Multisilta;20240326;*;;*;Kaikki;kaikki;160;143;101;139;215;686;2250;3700;3093;2217;2055;2075;2256;2468;2978;4355;4210;3057;2254;1689;1297;886;640;353;43277
471;vt3_Tampere_Multisilta;20240327;*;;*;Kaikki;kaikki;188;135;127;111;194;698;2131;3523;3119;2292;2104;2343;2405;2697;3189;4595;4420;3322;2588;1883;1464;1068;662;364;45622
471;vt3_Tampere_Multisilta;20240328;*;;*;Kaikki;kaikki;235;170;141;146;230;685;1988;2855;2530;2353;2394;2768;3002;3335;4139;4941;4658;4392;3165;2167;1741;1578;869;501;50983
471;vt3_Tampere_Multisilta;20240329;*;;*;Kaikki;kaikki;345;197;216;143;135;195;379;530;924;1641;2482;3350;3547;3655;3275;3004;2710;2595;1935;1403;1018;1108;702;389;35878
471;vt3_Tampere_Multisilta;20240330;*;;*;Kaikki;kaikki;307;211;176;122;132;189;265;466;850;1684;2447;2959;3337;3373;3129;3121;2882;2561;2231;1637;1398;892;688;536;35593
471;vt3_Tampere_Multisilta;20240331;*;;*;Kaikki;kaikki;372;233;195;;183;154;214;226;389;745;1383;2175;2804;2980;3053;3076;2965;2904;2665;2048;1523;1076;739;489;32591
471;vt3_Tampere_Multisilta;20240401;*;;*;Kaikki;kaikki;290;193;173;110;81;119;261;316;368;790;1319;2051;2961;3390;3661;3633;3944;3428;2866;2135;1578;941;532;311;35451
471;vt3_Tampere_Multisilta;20240402;*;;*;Kaikki;kaikki;194;138;113;153;224;800;2227;3584;3148;2284;2132;2220;2293;2480;2971;4177;4264;3016;2232;1599;1401;952;519;281;43402
471;vt3_Tampere_Multisilta;20240403;*;;*;Kaikki;kaikki;215;140;125;119;218;655;2111;3518;3026;2148;1949;2036;2091;2405;2870;4249;4213;3039;2318;1688;1382;976;630;299;42420
471;vt3_Tampere_Multisilta;20240404;*;;*;Kaikki;kaikki;182;143;127;137;189;702;2069;3446;3188;2251;2078;2309;2378;2619;3136;4352;4509;3314;2623;1964;1480;1166;643;340;45345
471;vt3_Tampere_Multisilta;20240405;*;;*;Kaikki;kaikki;210;156;119;154;194;655;1883;3164;2787;2222;2134;2377;2679;2937;3600;4489;4277;3644;2610;1797;1364;1221;1156;544;46373
471;vt3_Tampere_Multisilta;20240406;*;;*;Kaikki;kaikki;406;231;213;164;140;247;424;736;1361;2177;2681;3038;3470;3364;3305;3437;3408;2927;2681;1900;1406;1025;790;595;40126
471;vt3_Tampere_Multisilta;20240407;*;;*;Kaikki;kaikki;396;286;239;171;118;146;297;332;634;1102;1533;2198;2673;3003;3061;3317;3247;3220;2632;1798;1406;884;515;265;33473
471;vt3_Tampere_Multisilta;20240408;*;;*;Kaikki;kaikki;150;119;103;127;246;770;2271;3670;3224;2314;2019;2157;2166;2405;2901;4130;4185;3039;2300;1697;1436;986;480;271;43166
471;vt3_Tampere_Multisilta;20240409;*;;*;Kaikki;kaikki;166;151;107;127;230;688;2259;3890;3191;2407;2119;2107;2226;2452;3056;4382;4598;3261;2417;1716;1434;1457;623;314;45378
471;vt3_Tampere_Multisilta;20240410;*;;*;Kaikki;kaikki;200;141;100;142;211;668;2249;3803;3350;2391;1991;2197;2218;2564;3139;4411;4495;3265;2551;1960;1521;1035;629;379;45610
471;vt3_Tampere_Multisilta;20240411;*;;*;Kaikki;kaikki;203;146;129;136;201;692;2222;3820;3280;2451;2164;2377;2498;2693;3280;4694;4720;3518;2813;2024;1491;1145;663;382;47742
471;vt3_Tampere_Multisilta;20240412;*;;*;Kaikki;kaikki;246;159;137;148;237;673;1995;3243;3097;2542;2560;2870;3176;3548;4241;5147;4848;4173;3011;2029;1680;1320;821;571;52472
471;vt3_Tampere_Multisilta;20240413;*;;*;Kaikki;kaikki;427;262;217;179;173;213;458;698;1441;2499;3016;3576;3752;3725;3769;3829;3395;2862;2379;2132;1856;1173;1016;1398;44445
471;vt3_Tampere_Multisilta;20240414;*;;*;Kaikki;kaikki;481;395;270;167;142;161;300;380;639;1047;1628;2436;2988;3162;3336;3389;3503;3221;2774;2111;1584;987;540;265;35906
471;vt3_Tampere_Multisilta;20240415;*;;*;Kaikki;kaikki;149;110;121;147;266;823;2322;3770;3453;2549;2213;2204;2296;2519;3051;4281;4308;3192;2371;1824;1434;918;559;285;45165
471;vt3_Tampere_Multisilta;20240416;*;;*;Kaikki;kaikki;217;148;124;133;216;735;2353;3892;3347;2434;2066;2131;2272;2377;3008;4499;4500;3230;2493;1778;1593;1018;642;292;45498
471;vt3_Tampere_Multisilta;20240417;*;;*;Kaikki;kaikki;179;125;100;130;207;733;2265;3853;3293;2380;2047;2110;2333;2501;3075;4444;4645;3348;2475;1856;1492;1130;674;325;45720
471;vt3_Tampere_Multisilta;20240418;*;;*;Kaikki;kaikki;206;171;120;140;250;683;2308;3635;3208;2360;2101;2340;2418;2621;3381;4621;4827;3653;2854;2199;1625;1183;679;361;47944
471;vt3_Tampere_Multisilta;20240419;*;;*;Kaikki;kaikki;235;170;129;150;239;714;2020;3285;2934;2431;2350;2554;2934;3296;4090;5155;4944;3995;3053;2104;1654;1118;753;542;50849
471;vt3_Tampere_Multisilta;20240420;*;;*;Kaikki;kaikki;329;257;213;149;144;237;423;642;1019;1750;2127;2605;2826;2893;2859;2995;2789;2342;1968;1651;1581;944;802;556;34101
471;vt3_Tampere_Multisilta;20240421;*;;*;Kaikki;kaikki;392;254;210;147;130;126;265;398;508;888;1389;2031;2775;3057;3151;3268;3126;3095;2674;2024;1480;923;555;284;33150
471;vt3_Tampere_Multisilta;20240422;*;;*;Kaikki;kaikki;176;114;85;157;244;816;2371;3645;3171;2422;2148;2102;2258;2405;2872;4184;4012;2765;2092;1573;1223;893;534;269;42531
471;vt3_Tampere_Multisilta;20240423;*;;*;Kaikki;kaikki;181;140;112;110;228;663;2076;3256;2623;1851;1632;1696;1738;2002;2509;3716;3587;2534;1879;1452;1200;790;530;332;36837
471;vt3_Tampere_Multisilta;20240424;*;;*;Kaikki;kaikki;175;119;114;132;216;655;2143;3399;2916;2163;1955;2050;2303;2462;2941;4312;4235;3443;2267;1755;1348;1039;1226;427;43795
471;vt3_Tampere_Multisilta;20240425;*;;*;Kaikki;kaikki;232;160;144;133;235;718;2238;3684;3280;2478;2225;2493;2560;2775;3386;4701;4638;3521;2634;2069;1583;1001;670;386;47944
471;vt3_Tampere_Multisilta;20240426;*;;*;Kaikki;kaikki;218;148;131;158;239;721;2009;3213;3022;2457;2417;2636;2880;3450;4090;5246;4979;3980;3042;2189;1609;1163;922;567;51486
471;vt3_Tampere_Multisilta;20240427;*;;*;Kaikki;kaikki;425;239;213;134;140;242;402;735;1439;2391;3000;3625;4019;3948;3861;3442;3324;3200;2694;1955;1335;1065;987;742;43557
471;vt3_Tampere_Multisilta;20240428;*;;*;Kaikki;kaikki;439;318;191;156;128;132;260;373;675;1206;1917;2693;3175;3329;3515;4026;3749;3349;2715;2169;2322;1334;682;338;39191
471;vt3_Tampere_Multisilta;20240429;*;;*;Kaikki;kaikki;210;132;125;153;264;848;2413;3778;3450;2476;2207;2311;2371;2660;3127;4470;4599;3214;2406;2115;1563;958;667;325;46842
471;vt3_Tampere_Multisilta;20240430;*;;*;Kaikki;kaikki;210;163;142;122;220;734;2223;3529;3056;2354;2227;2360;2534;3043;3842;4841;4400;3129;2520;1701;1350;1122;1041;1077;47940
471;vt3_Tampere_Multisilta;20240501;*;;*;Kaikki;kaikki;613;436;295;205;212;265;368;432;581;1024;1592;2122;2301;2359;2344;2401;2398;2433;2221;1765;1303;998;615;283;29566
471;vt3_Tampere_Multisilta;20240502;*;;*;Kaikki;kaikki;154;136;103;130;221;785;2394;3747;3457;2460;2363;2489;2501;2713;3300;4454;4524;3289;2645;1991;1617;1070;647;352;47542
471;vt3_Tampere_Multisilta;20240503;*;;*;Kaikki;kaikki;217;162;123;148;227;703;2011;3349;3025;2406;2435;2696;2897;3372;4141;5175;4899;4010;3217;2385;1827;1257;881;587;52150
471;vt3_Tampere_Multisilta;20240504;*;;*;Kaikki;kaikki;399;241;175;135;161;247;470;907;1737;2596;3158;3442;3582;3535;3426;3286;2971;2878;2542;1954;1523;1170;955;589;42079
471;vt3_Tampere_Multisilta;20240505;*;;*;Kaikki;kaikki;430;275;210;124;104;112;264;460;905;1373;1975;2630;3127;3364;3606;3670;3701;3547;3165;2347;1685;1011;613;338;39036
471;vt3_Tampere_Multisilta;20240506;*;;*;Kaikki;kaikki;187;141;121;131;287;923;2525;3940;3525;2543;2267;2356;2379;2580;3048;4391;4674;3243;2497;2099;1519;1033;567;274;47250
471;vt3_Tampere_Multisilta;20240507;*;;*;Kaikki;kaikki;185;141;103;156;243;752;2459;4041;3458;2527;2184;2253;2421;2539;3224;4584;4839;3269;2627;1969;1607;1056;626;327;47590
471;vt3_Tampere_Multisilta;20240508;*;;*;Kaikki;kaikki;214;137;122;124;216;773;2363;3856;3343;2539;2259;2564;2681;2931;3709;5023;5222;4072;3219;2515;1894;1334;853;555;52518
471;vt3_Tampere_Multisilta;20240509;*;;*;Kaikki;kaikki;381;243;222;160;190;358;813;823;1022;1762;2306;2865;3129;3258;3234;3264;3023;2723;2504;1851;1434;1012;630;316;37523
471;vt3_Tampere_Multisilta;20240510;*;;*;Kaikki;kaikki;190;144;141;131;224;471;1513;2666;2495;2460;2573;2985;3311;3516;4150;4749;4547;3753;3146;2276;1771;1185;765;481;49643
471;vt3_Tampere_Multisilta;20240511;*;;*;Kaikki;kaikki;454;287;193;140;157;236;427;653;1108;2197;3023;3457;3615;3678;3684;3482;3321;3151;2854;2452;1642;1178;861;552;42802
